,Gene
15956,TAF7
15990,RELL2
15996,KIAA0141
16012,ARHGAP26
16066,JAKMIP2
16085,FBXO38
16090,SH3TC2
16121,CSF1R
16123,PDGFRB
16129,CD74
16130,RPS14
16156,SLC36A1
16183,MFAP3
16185,SAP30L-AS1
16189,SAP30L
16218,HAVCR2
16219,CTB-120L21.1
16263,RNF145
16267,UBLCP1
16269,IL12B
16280,FABP6
16314,MAT2B
16361,SPDL1
16368,LINC01187
16407,RP11-779O18.1
16408,RP11-779O18.2
16410,RP11-779O18.3
16421,CREBRF
16441,CPEB4
16466,RN7SKP148
16475,RP11-826N14.1
16492,HIGD2A
16497,CDHR2
16503,TSPAN17
16518,MXD3
16521,RGS14
16533,DDX41
16536,TMED9
16537,B4GALT7
16547,RP11-1252I4.2
16553,RP11-889L3.1
16566,CLK4
16567,RN7SKP70
16568,ZNF354A
16583,ZNF354C
16584,ADAMTS2
16608,CTC-241N9.1
16609,TBC1D9B
16615,RP11-39H3.2
16639,BTNL8
16640,RPS29P12
16644,BTNL3
16660,RACK1
16664,TRIM52-AS1
16703,FOXC1
16704,GMDS
16713,SERPINB1
16721,NQO2
16738,RP11-506K6.4
16752,RP3-406P24.5
16778,LYRM4
16780,FARS2
16793,LY86-AS1
16796,RP1-80N2.3
16828,SLC35B3
16853,RP11-421M1.8
16855,RNA5SP203
16856,MAK
16859,SYCP2L
16894,SIRT5
16896,RANBP9
16908,RP11-330A16.1
16914,JARID2
16922,RP1-13D10.5
16923,MYLIP
16927,MRPL42P2
16931,ATXN1
16940,FAM8A1
16941,NUP153
16945,KIF13A
16949,KDM1B
16954,RP11-528A10.1
16955,RNF144B
16970,E2F3
16990,PRL
17009,KIAA0319
17010,KRT8P43
17011,TDP2
17012,ACOT13
17014,C6orf62
17020,FAM65B
17021,MTCO2P33
17022,PPIAP29
17024,ASS1P1
17054,U91328.22
17074,LARP1P1
17103,BTN2A1
17104,BTN1A1
17106,HCG11
17135,ZNF391
17181,ZSCAN16
17189,ZSCAN9
17192,ZSCAN26
17197,ZKSCAN3
17274,HLA-F-AS1
17301,HCG9
17316,TRIM26
17334,GNL1
17336,ABCF1
17342,C6orf136
17349,TUBB
17356,LINC00243
17366,HCG21
17377,CCHCR1
17379,POU5F1
17380,PSORS1C3
17381,XXbac-BPG299F13.17
17382,HCG27
17383,XXbac-BPG299F13.14
17417,TNF
17426,BAG6
17430,CSNK2B
17431,LY6G5B
17462,NELFE
17484,RNF5
17498,HLA-DRA
17500,HLA-DRB5
17502,HLA-DRB6
17503,HLA-DRB1
17505,HLA-DQB1
17516,PSMB8-AS1
17517,TAP1
17522,HLA-DMA
17526,HLA-DPA1
17527,HLA-DPB1
17540,RING1
17545,VPS52
17548,WDR46
17561,PHF1
17562,CUTA
17569,BAK1
17585,HMGA1
17587,C6orf1
17592,PACSIN1
17595,C6orf106
17605,ANKS1A
17614,PPARD
17618,MIR7111
17620,TULP1
17623,FKBP5
17624,RP3-340B19.5
17626,RP3-510O8.4
17633,SRPK1
17634,SLC26A8
17635,DPRXP2
17636,MAPK14
17638,MAPK13
17648,STK38
17655,CDKN1A
17660,C6orf89
17663,MTCH1
17708,DAAM2
17709,XXyac-YR38GF2.1
17710,RP11-61I13.3
17716,LINC00951
17718,LRFN2
17728,ADCY10P1
17747,FOXP4
17758,TOMM6
17774,UBR2
17779,GLTSCR1L
17781,C6orf226
17788,PPP2R5D
17794,CUL7
17796,MRPL2
17800,CUL9
17811,ABCC10
17815,TJAP1
17837,C6orf223
17845,SLC29A1
17848,NFKBIE
17879,PLA2G7
17908,MUT
17947,PAQR8
17977,ELOVL5
17991,KLHL31
18041,POM121L14P
